anio,mes,dia,hora(utc),altura(mm)
2016,2,3,22,361 
2016,2,3,23,340 
2016,2,4,0,411 
2016,2,4,1,575 
2016,2,4,2,803 
2016,2,4,3,1049 
2016,2,4,4,1273 
2016,2,4,5,1442 
2016,2,4,6,1528 
2016,2,4,7,1519 
2016,2,4,8,1428 
2016,2,4,9,1288 
2016,2,4,10,1138 
2016,2,4,11,1014 
2016,2,4,12,947 
2016,2,4,13,956 
2016,2,4,14,1020 
2016,2,4,15,1098 
2016,2,4,16,1151 
2016,2,4,17,1147 
2016,2,4,18,1061 
2016,2,4,19,901 
2016,2,4,20,696 
2016,2,4,21,483 
2016,2,4,22,302 
2016,2,4,23,196 
2016,2,5,0,198 
2016,2,5,1,326 
2016,2,5,2,566 
2016,2,5,3,869 
2016,2,5,4,1179 
2016,2,5,5,1449 
2016,2,5,6,1627 
2016,2,5,7,1675 
2016,2,5,8,1595 
2016,2,5,9,1424 
2016,2,5,10,1213 
2016,2,5,11,1012 
2016,2,5,12,873 
2016,2,5,13,834 
2016,2,5,14,895 
2016,2,5,15,1013 
2016,2,5,16,1136 
2016,2,5,17,1218 
2016,2,5,18,1213 
2016,2,5,19,1089 
2016,2,5,20,866 
2016,2,5,21,595 
2016,2,5,22,330 
2016,2,5,23,121 
2016,2,6,0,24 
2016,2,6,1,79 
2016,2,6,2,290 
2016,2,6,3,614 
2016,2,6,4,990 
2016,2,6,5,1356 
2016,2,6,6,1648 
2016,2,6,7,1795 
2016,2,6,8,1766 
2016,2,6,9,1594 
2016,2,6,10,1340 
2016,2,6,11,1067 
2016,2,6,12,841 
2016,2,6,13,725 
2016,2,6,14,746 
2016,2,6,15,875 
2016,2,6,16,1049 
2016,2,6,17,1214 
2016,2,6,18,1314 
2016,2,6,19,1284 
2016,2,6,20,1096 
2016,2,6,21,798 
2016,2,6,22,465 
2016,2,6,23,160 
2016,2,7,0,-55 
2016,2,7,1,-113 
2016,2,7,2,20 
2016,2,7,3,319 
2016,2,7,4,720 
2016,2,7,5,1155 
2016,2,7,6,1556 
2016,2,7,7,1832 
2016,2,7,8,1905 
2016,2,7,9,1775 
2016,2,7,10,1510 
2016,2,7,11,1186 
2016,2,7,12,876 
2016,2,7,13,660 
2016,2,7,14,601 
2016,2,7,15,698 
2016,2,7,16,892 
2016,2,7,17,1119 
2016,2,7,18,1319 
2016,2,7,19,1416 
2016,2,7,20,1334 
2016,2,7,21,1070 
2016,2,7,22,707 
2016,2,7,23,330 
2016,2,8,0,8 
2016,2,8,1,-184 
2016,2,8,2,-177 
2016,2,8,3,39 
2016,2,8,4,413 
2016,2,8,5,872 
2016,2,8,6,1346 
2016,2,8,7,1743 
2016,2,8,8,1957 
2016,2,8,9,1927 
2016,2,8,10,1695 
2016,2,8,11,1353 
2016,2,8,12,984 
2016,2,8,13,672 
2016,2,8,14,503 
2016,2,8,15,517 
2016,2,8,16,685 
2016,2,8,17,935 
2016,2,8,18,1206 
2016,2,8,19,1425 
2016,2,8,20,1493 
2016,2,8,21,1345 
2016,2,8,22,1018 
2016,2,8,23,616 
2016,2,9,0,224 
2016,2,9,1,-84 
2016,2,9,2,-226 
2016,2,9,3,-145 
2016,2,9,4,140 
2016,2,9,5,563 
2016,2,9,6,1054 
2016,2,9,7,1528 
2016,2,9,8,1875 
2016,2,9,9,1990 
2016,2,9,10,1851 
2016,2,9,11,1536 
2016,2,9,12,1148 
2016,2,9,13,771 
2016,2,9,14,492 
2016,2,9,15,388 
2016,2,9,16,472 
2016,2,9,17,695 
2016,2,9,18,990 
2016,2,9,19,1291 
2016,2,9,20,1503 
2016,2,9,21,1523 
2016,2,9,22,1318 
2016,2,9,23,960 
2016,2,10,0,554 
2016,2,10,1,180 
2016,2,10,2,-85 
2016,2,10,3,-161 
2016,2,10,4,-18 
2016,2,10,5,306 
2016,2,10,6,749 
2016,2,10,7,1235 
2016,2,10,8,1664 
2016,2,10,9,1917 
2016,2,10,10,1918 
2016,2,10,11,1690 
2016,2,10,12,1329 
2016,2,10,13,931 
2016,2,10,14,580 
2016,2,10,15,359 
2016,2,10,16,321 
2016,2,10,17,457 
2016,2,10,18,718 
2016,2,10,19,1043 
2016,2,10,20,1350 
2016,2,10,21,1531 
2016,2,10,22,1502 
2016,2,10,23,1270 
2016,2,11,0,921 
2016,2,11,1,547 
2016,2,11,2,221 
2016,2,11,3,19 
2016,2,11,4,3 
2016,2,11,5,181 
2016,2,11,6,512 
2016,2,11,7,939 
2016,2,11,8,1377 
2016,2,11,9,1716 
2016,2,11,10,1854 
2016,2,11,11,1758 
2016,2,11,12,1479 
2016,2,11,13,1109 
2016,2,11,14,737 
2016,2,11,15,439 
2016,2,11,16,280 
2016,2,11,17,292 
2016,2,11,18,460 
2016,2,11,19,744 
2016,2,11,20,1078 
2016,2,11,21,1364 
2016,2,11,22,1502 
2016,2,11,23,1446 
2016,2,12,0,1226 
2016,2,12,1,922 
2016,2,12,2,607 
2016,2,12,3,349 
2016,2,12,4,211 
2016,2,12,5,234 
2016,2,12,6,414 
2016,2,12,7,720 
2016,2,12,8,1096 
2016,2,12,9,1447 
2016,2,12,10,1670 
2016,2,12,11,1704 
2016,2,12,12,1548 
2016,2,12,13,1258 
2016,2,12,14,915 
2016,2,12,15,594 
2016,2,12,16,357 
2016,2,12,17,249 
2016,2,12,18,289 
2016,2,12,19,473 
2016,2,12,20,761 
2016,2,12,21,1077 
2016,2,12,22,1324 
2016,2,12,23,1431 
2016,2,13,0,1381 
2016,2,13,1,1209 
2016,2,13,2,974 
2016,2,13,3,735 
2016,2,13,4,547 
2016,2,13,5,457 
2016,2,13,6,487 
2016,2,13,7,640 
2016,2,13,8,894 
2016,2,13,9,1188 
2016,2,13,10,1428 
2016,2,13,11,1543 
2016,2,13,12,1508 
2016,2,13,13,1334 
2016,2,13,14,1067 
2016,2,13,15,774 
2016,2,13,16,513 
2016,2,13,17,327 
2016,2,13,18,247 
2016,2,13,19,298 
2016,2,13,20,480 
2016,2,13,21,751 
2016,2,13,22,1032 
2016,2,13,23,1244 
2016,2,14,0,1347 
2016,2,14,1,1337 
2016,2,14,2,1234 
2016,2,14,3,1078 
2016,2,14,4,913 
2016,2,14,5,780 
2016,2,14,6,706 
2016,2,14,7,715 
2016,2,14,8,819 
2016,2,14,9,1001 
2016,2,14,10,1196 
2016,2,14,11,1333 
2016,2,14,12,1377 
2016,2,14,13,1317 
2016,2,14,14,1160 
2016,2,14,15,937 
2016,2,14,16,699 
2016,2,14,17,487 
2016,2,14,18,328 
2016,2,14,19,254 
2016,2,14,20,298 
2016,2,14,21,463 
2016,2,14,22,704 
2016,2,14,23,950 
2016,2,15,0,1151 
2016,2,15,1,1281 
2016,2,15,2,1331 
2016,2,15,3,1304 
2016,2,15,4,1221 
2016,2,15,5,1113 
2016,2,15,6,1002 
2016,2,15,7,914 
2016,2,15,8,879 
